time,open,high,low,close,Plot,Plot,"BTCUSDTPERP, BINANCE: Open","BTCUSDTPERP, BINANCE: High","BTCUSDTPERP, BINANCE: Low","BTCUSDTPERP, BINANCE: Close",Volume,Volume MA,EMA,EMA,Histogram,MACD,Signal,Hist,MacNorm,Plot,Trigger,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1606039200,18405.8,18405.81,18070,18200.91,18480.96842,18480.96842,18405.8,18405.81,18070,18200.91,20445.412,13244.7703,18488.8051,18532.50764,-49.45352489,-73.34067563,-23.88715074,0,-1,NaN,-1,35.13792982,45.22197476,NaN,NaN
1606042800,18200.9,18253,17645.98,17925.2,18401.57293,18401.57293,18200.9,18253,17645.98,17925.2,52926.327,15045.9974,18466.70294,18477.29785,-70.02461995,-111.4179257,-41.39330573,0,-1,NaN,-1,28.37651374,43.54555866,NaN,NaN
1606046400,17924.92,18167.58,17852.94,18126.2,18362.23394,18362.23394,17924.92,18167.58,17852.94,18126.2,29671.593,15124.25615,18453.34988,18445.37987,-66.04265222,-123.946621,-57.90396879,0,-1,NaN,-1,37.77681836,42.62098418,NaN,NaN
1606050000,18126.2,18255.41,18071.1,18216.48,18341.41195,18341.41195,18126.2,18255.41,18071.1,18216.48,15249.986,15318.4526,18444.06087,18424.57079,-53.79540891,-125.1482299,-71.35282101,0.004580185,-0.994274768,NaN,-0.998854954,41.49121057,41.69410414,NaN,NaN
1606053600,18216.49,18315.86,18163,18201.4,18321.41024,18321.41024,18216.49,18315.86,18163,18201.4,11624.108,15548.954,18434.54475,18404.28253,-43.61089017,-125.8664337,-82.25554355,0.009803864,-0.986472896,NaN,-0.99627676,41.05040461,41.35942644,NaN,NaN
1606057200,18201.4,18350,18200,18310.35,18319.83021,18319.83021,18201.4,18350,18200,18310.35,9293.068,15442.1224,18429.67437,18395.74321,-27.23843364,-116.3035856,-89.06515196,0.068516025,-0.910235706,NaN,-0.978751731,45.55120934,41.61988364,NaN,NaN
1606060800,18310,18620,18281.09,18571.03,18355.71589,18355.71589,18310,18620,18281.09,18571.03,22621.687,16230.1972,18435.21773,18411.67838,1.899367223,-86.69094294,-88.59031016,0.220610972,-0.700704189,NaN,-0.921315161,54.50209316,42.05987413,NaN,NaN
1606064400,18571.24,18597,18476.9,18510.95,18377.89219,18377.89219,18571.24,18597,18476.9,18510.95,11547.822,16497.8339,18438.18762,18420.70307,17.03630405,-67.2949301,-84.33123415,0.278830069,-0.564448377,NaN,-0.843278446,52.3654622,42.41965485,NaN,NaN
1606068000,18508.06,18660.92,18499.5,18529.56,18399.55902,18399.55902,18508.06,18660.92,18499.5,18529.56,12784.267,16514.98755,18441.77085,18430.59915,27.58725007,-49.84717156,-77.43442163,0.306752236,-0.444098431,NaN,-0.750850667,52.98035137,42.65562894,NaN,NaN
1606071600,18529.56,18622.2,18511.19,18607.72,18429.29631,18429.29631,18529.56,18622.2,18511.19,18607.72,8037.713,16476.72125,18448.27866,18446.70105,38.44815285,-29.37423057,-67.82238342,0.34287459,-0.298852475,NaN,-0.641727065,55.57413445,43.40697181,NaN,NaN
1606075200,18606.35,18718.13,18533,18575.63,18450.20112,18450.20112,18606.35,18718.13,18533,18575.63,11949.112,16312.13375,18453.27283,18458.42186,41.81045548,-15.55931406,-57.36976955,0.325126979,-0.204108806,NaN,-0.529235785,54.25091704,44.15955632,NaN,NaN
1606078800,18575.63,18644.18,18514.1,18596,18471.02953,18471.02953,18575.63,18644.18,18514.1,18596,6297.203,15484.7039,18458.86998,18470.92897,43.54910352,-2.933390143,-46.48249367,0.30530217,-0.110383807,NaN,-0.415685976,54.98363181,44.91384962,NaN,NaN
1606082400,18596,18680,18551.02,18645.01,18495.88388,18495.88388,18596,18680,18551.02,18645.01,6166.094,15310.6822,18466.16959,18486.75451,45.90741419,10.90177407,-35.00564012,0.292304281,-0.009405468,NaN,-0.301709749,56.77730277,46.63359044,NaN,NaN
1606086000,18645,18653.6,18400.99,18435.2,18487.21476,18487.21476,18645,18653.6,18400.99,18435.2,19832.583,15954.95755,18464.95509,18482.06774,31.90857081,4.88007339,-27.02849742,0.162541569,-0.056496053,NaN,-0.219037623,47.96613943,47.05600848,NaN,NaN
1606089600,18434.17,18545.27,18120,18163.02,18440.90122,18440.90122,18434.17,18545.27,18120,18163.02,25970.485,16838.6122,18453.1145,18453.0634,4.338188885,-21.60576131,-25.9439502,-0.049860365,-0.244491004,NaN,-0.194630639,39.41967897,47.3618477,NaN,NaN
1606093200,18163.01,18291,18013.97,18233.6,18411.28676,18411.28676,18163.01,18291,18013.97,18233.6,24180.973,17740.243,18444.50609,18433.11218,-8.429030653,-36.48023851,-28.05120786,-0.142894357,-0.348767673,NaN,-0.205873315,42.29114767,48.35575012,NaN,NaN
1606096800,18233.61,18359.9,18210,18233.42,18385.87722,18385.87722,18233.61,18359.9,18210,18233.42,11035.578,17751.49245,18436.2282,18414.95835,-15.74516247,-47.73266095,-31.98749848,-0.185797224,-0.426225616,NaN,-0.240428392,42.28564288,48.67780902,NaN,NaN
1606100400,18231.95,18460.55,18204,18390.41,18386.52476,18386.52476,18231.95,18460.55,18204,18390.41,11596.062,17474.76055,18434.43141,18412.72668,-9.195025767,-43.48128069,-34.28625492,-0.112280515,-0.381363097,NaN,-0.269082582,48.57298384,49.18364997,NaN,NaN
1606104000,18390.41,18535.16,18358.8,18481.99,18400.16265,18400.16265,18390.41,18535.16,18358.8,18481.99,10577.043,17113.9966,18436.29645,18419.02335,1.549494362,-32.34938697,-33.89888133,0.010133535,-0.265905919,NaN,-0.276039455,51.86709717,49.95627086,NaN,NaN
1606107600,18483.58,18535.01,18405.01,18461,18408.8537,18408.8537,18483.58,18535.01,18405.01,18461,7992.394,16489.9755,18437.26522,18422.8394,7.172241235,-24.93357979,-32.10582102,0.108834988,-0.152140376,NaN,-0.260975364,51.05981945,50.34974301,NaN,NaN
1606111200,18461.01,18568,18330,18558,18430.16032,18430.16032,18461.01,18568,18330,18558,12332.883,16084.34905,18441.99992,18435.12673,16.80350534,-11.10143935,-27.90494469,0.216586882,-6.39632E-05,NaN,-0.216650846,54.57817394,50.35517736,NaN,NaN
1606114800,18558.02,18592.67,18454.57,18480.33,18437.32741,18437.32741,18558.02,18592.67,18454.57,18480.33,10961.568,13986.1111,18443.50306,18439.23612,17.25701368,-6.333677586,-23.59069127,0.245570994,0.088507384,NaN,-0.157063609,51.39223266,50.28566096,NaN,NaN
1606118400,18481.28,18696,18478.32,18607.29,18461.60778,18461.60778,18481.28,18696,18478.32,18607.29,15327.153,13268.8891,18449.92607,18454.51374,24.95398518,7.601790205,-17.35219497,0.302707336,0.231692056,NaN,-0.07101528,55.92165046,50.49575375,NaN,NaN
1606122000,18607.3,18693.77,18564.06,18667.16,18490.97239,18490.97239,18607.3,18693.77,18564.06,18667.16,10750.306,13043.9051,18458.44505,18473.84522,32.44912884,23.20921608,-9.239912761,0.330108512,0.365498712,NaN,0.0353902,57.91328113,50.66283566,NaN,NaN
1606125600,18667.17,18812.65,18667.16,18779.45,18532.18347,18532.18347,18667.17,18812.65,18667.16,18779.45,18304.706,13377.935,18471.03348,18501.62748,42.69622672,44.13037064,1.434143919,0.456816651,0.639946578,NaN,0.183129927,61.43305844,51.17584576,NaN,NaN
1606129200,18779.78,18782,18573,18606.18,18542.75441,18542.75441,18779.78,18782,18573,18606.18,17017.623,13764.16275,18476.33335,18511.13225,35.80994097,46.19657013,10.38662916,0.420964892,0.752342253,NaN,0.33137736,53.93713761,51.10109617,NaN,NaN
1606132800,18606.18,18675,18514,18652.41,18558.41949,18558.41949,18606.18,18675,18514,18652.41,15802.762,13423.2165,18483.23831,18523.97568,32.47213188,50.97679401,18.50466213,0.366756658,0.837153255,NaN,0.470396597,55.49738543,51.00967351,NaN,NaN
1606136400,18653.36,18689,18363.9,18626.4,18568.13099,18568.13099,18653.36,18689,18363.9,18626.4,26328.527,14162.25175,18488.8525,18533.28698,26.84921408,52.06617973,25.21696565,0.255348777,0.837819774,NaN,0.582470997,54.3813102,51.46789999,NaN,NaN
1606140000,18626.4,18731.71,18524.11,18544,18564.68371,18564.68371,18626.4,18731.71,18524.11,18544,20651.899,14555.63335,18491.01514,18534.26089,16.42892421,45.75312091,29.3241967,0.108320583,0.763468485,NaN,0.655147902,50.88972538,52.28718902,NaN,NaN
1606143600,18543.39,18583.98,18246.7,18283.32,18524.48889,18524.48889,18543.39,18583.98,18246.7,18283.32,33932.676,15850.3815,18482.87024,18511.44809,-7.866874667,19.49060337,27.35747804,-0.165903478,0.486100959,NaN,0.652004437,41.75584379,52.24895303,NaN,NaN
1606147200,18283.31,18437.97,18156.52,18400.03,18506.70905,18506.70905,18283.31,18437.97,18156.52,18400.03,26851.538,16595.5028,18479.6216,18501.31917,-15.48386951,8.002641152,23.48651066,-0.248563735,0.365341726,NaN,0.613905461,46.39477009,52.54246211,NaN,NaN
1606150800,18400.47,18491.3,18351.02,18376.04,18488.04204,18488.04204,18400.47,18491.3,18351.02,18376.04,12463.477,16903.8165,18475.55958,18489.93015,-21.19147207,-3.00282943,18.18864264,-0.286219281,0.26295873,NaN,0.549178011,45.59096498,52.32946077,NaN,NaN
1606154400,18376.05,18437.5,18305.26,18366.64,18470.69889,18470.69889,18376.05,18437.5,18305.26,18366.64,8736.44,17032.3338,18471.28822,18478.72196,-24.42370322,-12.34098639,12.08271684,-0.295433611,0.169662988,NaN,0.465096599,45.26007827,51.85753085,NaN,NaN
1606158000,18366.65,18484.99,18323,18466.34,18470.0762,18470.0762,18366.65,18484.99,18323,18466.34,7413.337,16411.3715,18471.09417,18477.59633,-18.91680695,-11.56329185,7.353515098,-0.193641897,0.197240745,NaN,0.390882642,49.45060389,51.74258688,NaN,NaN
1606161600,18465.95,18510.23,18364.7,18388.29,18458.39245,18458.39245,18465.95,18510.23,18364.7,18388.29,8806.459,15553.1702,18467.84695,18469.47757,-19.52155003,-17.04842244,2.473127591,-0.136576118,0.188102907,NaN,0.324679025,46.4525702,51.16218661,NaN,NaN
1606165200,18388.29,18472,18338,18429,18454.19353,18454.19353,18388.29,18472,18338,18429,7494.045,14718.8238,18466.32354,18465.79779,-16.3017693,-17.90408404,-1.602314735,-0.068289951,0.20637941,NaN,0.274669361,48.21605971,50.93531711,NaN,NaN
1606168800,18429,18492.27,18372.88,18433,18451.16588,18451.16588,18429,18492.27,18372.88,18433,6376.763,14485.88305,18465.01673,18462.81617,-13.15922878,-18.05135071,-4.89212193,-0.030726562,0.208343062,NaN,0.239069624,48.3958897,50.39776277,NaN,NaN
1606172400,18433,18453.8,18249.91,18382.07,18441.29504,18441.29504,18433,18453.8,18249.91,18382.07,13316.681,14571.914,18461.76392,18455.47561,-13.70534983,-22.02380921,-8.318459387,-0.042302553,0.166858867,NaN,0.20916142,46.19615057,49.56082488,NaN,NaN
1606176000,18382.07,18397.65,18227.87,18380,18432.53861,18432.53861,18382.07,18397.65,18227.87,18380,10909.542,14588.53895,18458.55749,18448.61419,-13.38545559,-25.05027887,-11.66482328,-0.049971484,0.136459936,NaN,0.18643142,46.10442579,48.46592255,NaN,NaN
1606179600,18380,18560,18351.28,18489.99,18440.74595,18440.74595,18380,18560,18351.28,18489.99,13575.161,14867.6773,18459.79014,18452.37563,-5.357613566,-18.36184024,-13.00422668,0.028552016,0.215914064,NaN,0.187362047,51.60319073,48.29921205,NaN,NaN
1606183200,18490,18504.54,18356.7,18357.19,18428.80939,18428.80939,18490,18504.54,18356.7,18357.19,9541.943,14728.1303,18455.76661,18443.72239,-8.401491459,-23.506091,-15.10459954,-0.020251414,0.160223827,NaN,0.180475241,45.55927485,47.58934701,NaN,NaN
1606186800,18357.2,18422.9,18337.3,18359.27,18418.87519,18418.87519,18357.2,18422.9,18337.3,18359.27,7372.315,14548.66765,18451.98242,18436.0449,-9.598468595,-27.10268528,-17.50421669,-0.045657503,0.122711456,NaN,0.168368959,45.66661411,46.96686872,NaN,NaN
1606190400,18359.26,18468.87,18289.74,18462.01,18425.0373,18425.0373,18359.26,18468.87,18289.74,18462.01,10393.835,14302.00175,18452.37566,18438.40536,-3.129333708,-21.41588382,-18.28655012,0.019579876,0.190429536,NaN,0.17084966,50.82420581,46.96218875,NaN,NaN
1606194000,18462.01,18466.91,18316.2,18346.99,18413.88769,18413.88769,18462.01,18466.91,18316.2,18346.99,10359.043,14282.4386,18448.24289,18430.09488,-6.08415315,-25.89174155,-19.8075884,-0.021809258,0.141983195,NaN,0.163792453,45.60492763,47.23712331,NaN,NaN
1606197600,18346.99,18415.3,18000,18412.48,18413.68659,18413.68659,18346.99,18415.3,18000,18412.48,34655.332,15099.9699,18446.84043,18428.49352,-3.257234564,-23.87913161,-20.62189704,0.00461486,0.167472938,NaN,0.162858077,48.82722155,47.41086984,NaN,NaN
1606201200,18411.75,18479.44,18376,18381.99,18409.15851,18409.15851,18411.75,18479.44,18376,18381.99,10057.103,14751.9439,18444.29727,18424.26593,-3.072421814,-24.46242431,-21.3900025,0.001108124,0.163002283,NaN,0.161894159,47.41882958,47.5414316,NaN,NaN
1606204800,18382,18645.95,18381.99,18643.82,18442.68158,18442.68158,18382,18645.95,18381.99,18643.82,15635.978,14743.6047,18452.12169,18444.22539,14.10886415,-3.753922306,-17.86278646,0.189706783,0.398805175,NaN,0.209098391,58.4913563,48.48652289,NaN,NaN
1606208400,18645.67,19144,18585,19033.28,18527.05278,18527.05278,18645.67,19144,18585,19033.28,65546.615,16704.5091,18474.91221,18497.77581,49.15543033,43.58150146,-5.573928876,0.570913684,0.927876138,NaN,0.356962454,68.96136854,49.88014893,NaN,NaN
1606212000,19033.28,19180,18725.63,18927.2,18584.21667,18584.21667,19033.28,19180,18725.63,18927.2,43042.439,17824.0361,18492.64899,18536.81437,61.82616883,71.70878217,9.882613332,0.498146664,0.999763659,NaN,0.501616995,64.21053036,51.14857466,NaN,NaN
1606215600,18927.21,19100,18875.89,19089.69,18656.42714,18656.42714,18927.21,19100,18875.89,19089.69,17194.191,16987.11185,18516.06236,18587.07579,76.80654661,105.8907966,29.08424999,0.370937427,0.999796689,NaN,0.628859261,67.8627047,52.55190644,NaN,NaN
1606219200,19089.69,19280,18997.3,19174.57,18730.44755,18730.44755,19089.69,19280,18997.3,19174.57,32267.377,17257.9038,18541.88619,18640.48436,87.32131885,138.2358985,50.9145797,0.262370892,0.999819884,NaN,0.737448992,69.60743008,54.06701647,NaN,NaN
